horas_estudo,faltas,nota_p1,nota_final
20,2,7.5,7.8
30,1,9.0,9.4
15,4,6.0,6.2
25,0,8.5,8.9
18,5,7.0,6.8
35,2,9.5,9.8
22,3,8.0,8.1
12,2,6.5,6.4
16,6,6.0,5.8
28,1,8.8,9.2
14,3,7.2,7.0
19,4,6.8,6.9
21,2,7.9,8.0
26,0,9.2,9.6
17,5,6.5,6.3
32,1,9.7,9.9
23,3,7.4,7.5
11,1,6.2,6.3
27,2,8.1,8.5
13,4,6.9,6.6
38,0,10.0,10.0
24,3,7.6,7.8
15,2,6.7,6.9
29,1,9.1,9.3
20,5,7.0,6.7
5,12,3.5,3.1
2,20,2.0,1.2
8,15,4.5,3.9
4,18,3.0,2.1
10,10,5.0,4.8
1,25,1.5,0.5
6,14,4.0,3.4
3,22,2.5,1.5
7,11,4.2,4.0
9,16,3.8,3.5
0,30,0.0,0.0
5,15,3.0,2.4
12,18,4.5,4.1
4,12,2.8,2.6
8,22,3.9,2.9
2,14,1.0,1.1
7,19,4.1,3.2
6,10,3.7,3.8
3,17,2.2,1.8
11,20,4.8,4.0
5,9,4.0,3.9
8,13,5.2,5.0
1,16,1.8,1.0
10,24,3.5,2.8
6,15,4.3,3.7
