nome_produto,id_categoria
Notebook Dell Inspiron,1
Notebook Lenovo IdeaPad,1
Notebook Gamer Acer Nitro,1
PC Gamer Ryzen 7,1
Mini PC Intel,1
Mouse Gamer Redragon,2
Mouse Logitech MX,2
Teclado Mecânico RGB,2
Webcam Logitech C920,2
Controle Wireless PC,2
Headset HyperX,3
Fone JBL Tune,3
Caixa de Som JBL,3
Microfone Fifine,3
Headphone Sony,3
Monitor Gamer 144Hz,4
Cadeira Gamer,4
Console PS5,4
Placa RTX 4060,4
Water Cooler RGB,4
Cadeira Escritório,5
Mesa Escritório,5
Calculadora HP,5
Projetor Epson,5
Suporte Notebook,5
iPhone 15,6
Samsung Galaxy S24,6
Xiaomi Redmi Note,6
Motorola Edge,6
POCO X6,6
SSD Kingston 1TB,7
HD Externo Seagate,7
Pendrive Sandisk 64GB,7
SSD NVME Samsung,7
NAS Synology,7
Roteador TP-Link,8
Roteador WiFi 6,8
Switch 8 Portas,8
Repetidor WiFi,8
Kit Mesh WiFi,8
Fire TV Stick,9
Chromecast Google TV,9
Smart TV Samsung 50,9
Apple TV 4K,9
Mini Projetor Portátil,9
Carregador Turbo USB-C,10
Capa iPhone 15,10
Power Bank 20000mAh,10
Tripé Celular,10
Cooler Notebook,10
