id_cliente,id_produto,id_data,quantidade,valor_total
1,1,1,1,4500
2,6,2,2,300
3,11,3,1,350
4,16,4,1,1800
5,21,5,1,900
6,26,6,1,7000
7,31,7,2,800
8,36,8,1,500
9,41,9,1,350
10,46,10,3,150
11,2,11,1,5200
12,7,12,1,250
13,12,13,2,700
14,17,14,1,2200
15,22,15,1,1200
16,27,16,1,4500
17,32,17,1,350
18,37,18,2,900
19,42,19,1,800
20,47,20,1,200
21,3,21,1,6000
22,8,22,1,150
23,13,23,1,400
24,18,24,2,5000
25,23,25,1,300
26,28,26,1,2500
27,33,27,1,180
28,38,28,1,650
29,43,29,1,7500
30,48,30,2,220
31,4,31,1,8000
32,9,32,1,120
33,14,33,1,500
34,19,34,1,4500
35,24,35,2,1600
36,29,36,1,3500
37,34,37,1,900
38,39,38,1,1200
39,44,39,1,9500
40,49,40,1,300
41,5,41,1,2800
42,10,42,2,400
43,15,43,1,650
44,20,44,1,5500
45,25,45,1,700
46,30,46,1,1800
47,35,47,2,1300
48,40,48,1,2000
49,45,1,1,4800
50,50,2,1,250
