horas_estudo,faltas,nota_p1,resultado
14.1,5,1.9,Reprovado
36.0,1,10,Aprovado
23.4,7,3.1,Reprovado
18.0,6,2.5,Reprovado
23.8,9,5.1,Reprovado
9.0,6,1.8,Reprovado
22.9,7,6.5,Aprovado
30.1,6,6.0,Aprovado
6.2,7,1.1,Reprovado
21.5,7,6.0,Aprovado
11.7,10,1.6,Reprovado
13.9,5,5.0,Reprovado
16.1,7,2.5,Reprovado
16.0,5,3.5,Reprovado
26.5,5,6.6,Aprovado
34.0,0,10,Aprovado
13.6,2,4.3,Reprovado
28.2,7,7.0,Aprovado
22.5,5,5.3,Reprovado
24.0,3,5.3,Reprovado
19.2,5,6.1,Aprovado
17.6,5,3.0,Reprovado
20.0,4,5.2,Reprovado
19.4,3,5.1,Reprovado
11.4,6,2.6,Reprovado
7.3,8,0.8,Reprovado
30.8,3,7.6,Aprovado
23.1,6,4.0,Reprovado
13.5,5,5.3,Reprovado
17.6,6,5.4,Reprovado
29.2,5,5.7,Reprovado
11.4,7,2.0,Reprovado
28.6,7,4.3,Reprovado
15.0,7,4.5,Reprovado
20.0,3,5.6,Reprovado
10.8,6,4.2,Reprovado
10.4,2,4.2,Reprovado
21.8,8,2.8,Reprovado
20.7,5,5.0,Reprovado
12.3,5,2.7,Reprovado
24.2,3,4.4,Reprovado
29.0,5,4.9,Reprovado
19.0,7,2.6,Reprovado
27.3,6,4.7,Reprovado
3.9,8,1.5,Reprovado
17.2,5,3.0,Reprovado
25.7,5,5.9,Reprovado
31.3,4,6.5,Aprovado
28.9,7,6.0,Aprovado
24.1,5,8.1,Aprovado
21.0,4,4.5,Reprovado
19.1,6,4.8,Reprovado
22.4,2,8.3,Aprovado
15.6,6,5.1,Reprovado
14.6,4,3.1,Reprovado
20.0,7,2.3,Reprovado
26.3,4,5.5,Reprovado
26.6,3,6.3,Aprovado
17.1,3,5.3,Reprovado
32.7,4,8.1,Aprovado
33.6,2,9.2,Aprovado
26.3,8,6.2,Reprovado
31.0,4,8.0,Aprovado
19.6,8,3.6,Reprovado
19.0,9,3.5,Reprovado
33.3,5,6.2,Aprovado
29.5,3,6.6,Aprovado
21.4,7,4.8,Reprovado
14.3,10,2.6,Reprovado
21.1,7,4.7,Reprovado
8.1,5,2.9,Reprovado
28.7,3,9.1,Aprovado
17.3,7,2.8,Reprovado
19.7,6,3.4,Reprovado
30.9,4,6.9,Aprovado
11.2,7,0.7,Reprovado
34.9,4,7.6,Aprovado
17.6,5,4.1,Reprovado
29.1,3,5.9,Reprovado
32.1,5,9.2,Aprovado
15.8,9,2.5,Reprovado
